 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.315360000000E+06      0.397800000000E+34      0.149598000000E+14     -0.313142533688E+12     -0.207850813232E+05     -0.992968460453E+06      0.659090605124E-01      0.000000000000E+00
     2      0.946080000000E+06      0.397800000000E+34      0.149401399560E+14     -0.939290484718E+12     -0.623051978025E+05     -0.991664652410E+06      0.659090605124E-01      0.000000000000E+00
     2      0.157680000000E+07      0.397800000000E+34      0.148943095499E+14     -0.156434246580E+13     -0.103698045253E+06     -0.988627195944E+06      0.659090605124E-01      0.000000000000E+00
     2      0.220752000000E+07      0.397800000000E+34      0.148224004930E+14     -0.218720623297E+13     -0.144891128922E+06     -0.983864487239E+06      0.659090605124E-01      0.000000000000E+00
     2      0.283824000000E+07      0.397800000000E+34      0.147245501786E+14     -0.280679532312E+13     -0.185812252520E+06     -0.977388003374E+06      0.659090605124E-01      0.000000000000E+00
     2      0.346896000000E+07      0.397800000000E+34      0.146009414723E+14     -0.342203099929E+13     -0.226389657726E+06     -0.969212314256E+06      0.659090605124E-01      0.000000000000E+00
     2      0.409968000000E+07      0.397800000000E+34      0.144518024132E+14     -0.403184420243E+13     -0.266552167349E+06     -0.959355087228E+06      0.659090605124E-01      0.000000000000E+00
     2      0.473040000000E+07      0.397800000000E+34      0.142774058243E+14     -0.463517750483E+13     -0.306229331677E+06     -0.947837083843E+06      0.659090605124E-01      0.000000000000E+00
     2      0.536112000000E+07      0.397800000000E+34      0.140780688304E+14     -0.523098706020E+13     -0.345351577490E+06     -0.934682148383E+06      0.659090605124E-01      0.000000000000E+00
     2      0.599184000000E+07      0.397800000000E+34      0.138541522816E+14     -0.581824454519E+13     -0.383850359168E+06     -0.919917187686E+06      0.659090605124E-01      0.000000000000E+00
     2      0.662256000000E+07      0.397800000000E+34      0.136060600807E+14     -0.639593908677E+13     -0.421658311266E+06     -0.903572141947E+06      0.659090605124E-01      0.000000000000E+00
     2      0.725328000000E+07      0.397800000000E+34      0.133342384155E+14     -0.696307916972E+13     -0.458709401891E+06     -0.885679946146E+06      0.659090605124E-01      0.000000000000E+00
     2      0.788400000000E+07      0.397800000000E+34      0.130391748925E+14     -0.751869451826E+13     -0.494939086183E+06     -0.866276481874E+06      0.659090605124E-01      0.000000000000E+00
     2      0.851472000000E+07      0.397800000000E+34      0.127213975758E+14     -0.806183794584E+13     -0.530284459136E+06     -0.845400519341E+06      0.659090605124E-01      0.000000000000E+00
     2      0.914544000000E+07      0.397800000000E+34      0.123814739281E+14     -0.859158716667E+13     -0.564684407007E+06     -0.823093649450E+06      0.659090605124E-01      0.000000000000E+00
     2      0.977616000000E+07      0.397800000000E+34      0.120200096578E+14     -0.910704656293E+13     -0.598079756510E+06     -0.799400205854E+06      0.659090605124E-01      0.000000000000E+00
     2      0.104068800000E+08      0.397800000000E+34      0.116376474717E+14     -0.960734890121E+13     -0.630413420970E+06     -0.774367177037E+06      0.659090605124E-01      0.000000000000E+00
     2      0.110376000000E+08      0.397800000000E+34      0.112350657363E+14     -0.100916569919E+14     -0.661630542634E+06     -0.748044108477E+06      0.659090605124E-01      0.000000000000E+00
     2      0.116683200000E+08      0.397800000000E+34      0.108129770504E+14     -0.105591652854E+14     -0.691678630291E+06     -0.720482995069E+06      0.659090605124E-01      0.000000000000E+00
     2      0.122990400000E+08      0.397800000000E+34      0.103721267309E+14     -0.110091013987E+14     -0.720507691405E+06     -0.691738164059E+06      0.659090605124E-01      0.000000000000E+00
     2      0.129297600000E+08      0.397800000000E+34      0.991329121695E+13     -0.114407275675E+14     -0.748070357931E+06     -0.661866148785E+06      0.659090605124E-01      0.000000000000E+00
     2      0.135604800000E+08      0.397800000000E+34      0.943727639591E+13     -0.118533420159E+14     -0.774322005052E+06     -0.630925553653E+06      0.659090605124E-01      0.000000000000E+00
     2      0.141912000000E+08      0.397800000000E+34      0.894491585488E+13     -0.122462802408E+14     -0.799220862067E+06     -0.598976910799E+06      0.659090605124E-01      0.000000000000E+00
     2      0.148219200000E+08      0.397800000000E+34      0.843706906433E+13     -0.126189162042E+14     -0.822728114733E+06     -0.566082529002E+06      0.659090605124E-01      0.000000000000E+00
     2      0.154526400000E+08      0.397800000000E+34      0.791461949825E+13     -0.129706634292E+14     -0.844807998374E+06     -0.532306335456E+06      0.659090605124E-01      0.000000000000E+00
     2      0.160833600000E+08      0.397800000000E+34      0.737847269724E+13     -0.133009759947E+14     -0.865427881159E+06     -0.497713711090E+06      0.659090605124E-01      0.000000000000E+00
     2      0.167140800000E+08      0.397800000000E+34      0.682955428061E+13     -0.136093494259E+14     -0.884558336992E+06     -0.462371320172E+06      0.659090605124E-01      0.000000000000E+00
     2      0.173448000000E+08      0.397800000000E+34      0.626880791428E+13     -0.138953214762E+14     -0.902173207518E+06     -0.426346935004E+06      0.659090605124E-01      0.000000000000E+00
     2      0.179755200000E+08      0.397800000000E+34      0.569719324128E+13     -0.141584727979E+14     -0.918249652854E+06     -0.389709256539E+06      0.659090605124E-01      0.000000000000E+00
     2      0.186062400000E+08      0.397800000000E+34      0.511568378210E+13     -0.143984274994E+14     -0.932768190682E+06     -0.352527731806E+06      0.659090605124E-01      0.000000000000E+00
     2      0.192369600000E+08      0.397800000000E+34      0.452526481223E+13     -0.146148535863E+14     -0.945712723482E+06     -0.314872369060E+06      0.659090605124E-01      0.000000000000E+00
     2      0.198676800000E+08      0.397800000000E+34      0.392693122446E+13     -0.148074632865E+14     -0.957070553704E+06     -0.276813551584E+06      0.659090605124E-01      0.000000000000E+00
     2      0.204984000000E+08      0.397800000000E+34      0.332168538345E+13     -0.149760132570E+14     -0.966832386821E+06     -0.238421851084E+06      0.659090605124E-01      0.000000000000E+00
     2      0.211291200000E+08      0.397800000000E+34      0.271053498036E+13     -0.151203046735E+14     -0.974992322260E+06     -0.199767841652E+06      0.659090605124E-01      0.000000000000E+00
     2      0.217598400000E+08      0.397800000000E+34      0.209449089506E+13     -0.152401832027E+14     -0.981547832294E+06     -0.160921915210E+06      0.659090605124E-01      0.000000000000E+00
     2      0.223905600000E+08      0.397800000000E+34      0.147456507355E+13     -0.153355388585E+14     -0.986499729091E+06     -0.121954099393E+06      0.659090605124E-01      0.000000000000E+00
     2      0.230212800000E+08      0.397800000000E+34      0.851768427971E+12     -0.154063057441E+14     -0.989852120165E+06     -0.829338787611E+05      0.659090605124E-01      0.000000000000E+00
     2      0.236520000000E+08      0.397800000000E+34      0.227108766565E+12     -0.154524616817E+14     -0.991612352582E+06     -0.439300202359E+05      0.659090605124E-01      0.000000000000E+00
     2      0.242827200000E+08      0.397800000000E+34     -0.398411239522E+12     -0.154740277325E+14     -0.991790946336E+06     -0.501040357811E+04      0.659090605124E-01      0.000000000000E+00
     2      0.249134400000E+08      0.397800000000E+34     -0.102379604571E+13     -0.154710676118E+14     -0.990401517380E+06      0.337581422856E+05      0.659090605124E-01      0.000000000000E+00
     2      0.255441600000E+08      0.397800000000E+34     -0.164805917338E+13     -0.154436870008E+14     -0.987460690883E+06      0.723099963577E+05      0.659090605124E-01      0.000000000000E+00
     2      0.261748800000E+08      0.397800000000E+34     -0.227022509305E+13     -0.153920327606E+14     -0.982988005310E+06      0.110580895406E+06      0.659090605124E-01      0.000000000000E+00
     2      0.268056000000E+08      0.397800000000E+34     -0.288933104572E+13     -0.153162920537E+14     -0.977005807999E+06      0.148508075926E+06      0.659090605124E-01      0.000000000000E+00
     2      0.274363200000E+08      0.397800000000E+34     -0.350442879709E+13     -0.152166913759E+14     -0.969539142960E+06      0.186030407687E+06      0.659090605124E-01      0.000000000000E+00
     2      0.280670400000E+08      0.397800000000E+34     -0.411458631986E+13     -0.150934955071E+14     -0.960615631614E+06      0.223088518385E+06      0.659090605124E-01      0.000000000000E+00
     2      0.286977600000E+08      0.397800000000E+34     -0.471888939975E+13     -0.149470063833E+14     -0.950265347289E+06      0.259624909006E+06      0.659090605124E-01      0.000000000000E+00
     2      0.293284800000E+08      0.397800000000E+34     -0.531644316162E+13     -0.147775618979E+14     -0.938520684237E+06      0.295584059571E+06      0.659090605124E-01      0.000000000000E+00
     2      0.299592000000E+08      0.397800000000E+34     -0.590637351197E+13     -0.145855346387E+14     -0.925416222012E+06      0.330912525019E+06      0.659090605124E-01      0.000000000000E+00
     2      0.305899200000E+08      0.397800000000E+34     -0.648782849552E+13     -0.143713305647E+14     -0.910988586003E+06      0.365559021057E+06      0.659090605124E-01      0.000000000000E+00
     2      0.312206400000E+08      0.397800000000E+34     -0.705997956311E+13     -0.141353876310E+14     -0.895276304964E+06      0.399474499870E+06      0.659090605124E-01      0.000000000000E+00
     2      0.318513600000E+08      0.397800000000E+34     -0.762202274950E+13     -0.138781743675E+14     -0.878319666321E+06      0.432612215678E+06      0.659090605124E-01      0.000000000000E+00
     2      0.324820800000E+08      0.397800000000E+34     -0.817317975957E+13     -0.136001884179E+14     -0.860160570066E+06      0.464927780170E+06      0.659090605124E-01      0.000000000000E+00
