 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.315360000000E+06      0.198900000000E+34     -0.299196000000E+14      0.626285067377E+12      0.415701626464E+05      0.198593692091E+07      0.131818121025E+00      0.000000000000E+00
     1      0.946080000000E+06      0.198900000000E+34     -0.298802799119E+14      0.187858096944E+13      0.124610395605E+06      0.198332930482E+07      0.131818121025E+00      0.000000000000E+00
     1      0.157680000000E+07      0.198900000000E+34     -0.297886190998E+14      0.312868493159E+13      0.207396090506E+06      0.197725439189E+07      0.131818121025E+00      0.000000000000E+00
     1      0.220752000000E+07      0.198900000000E+34     -0.296448009860E+14      0.437441246594E+13      0.289782257844E+06      0.196772897448E+07      0.131818121025E+00      0.000000000000E+00
     1      0.283824000000E+07      0.198900000000E+34     -0.294491003572E+14      0.561359064623E+13      0.371624505040E+06      0.195477600675E+07      0.131818121025E+00      0.000000000000E+00
     1      0.346896000000E+07      0.198900000000E+34     -0.292018829446E+14      0.684406199857E+13      0.452779315452E+06      0.193842462851E+07      0.131818121025E+00      0.000000000000E+00
     1      0.409968000000E+07      0.198900000000E+34     -0.289036048264E+14      0.806368840486E+13      0.533104334698E+06      0.191871017446E+07      0.131818121025E+00      0.000000000000E+00
     1      0.473040000000E+07      0.198900000000E+34     -0.285548116486E+14      0.927035500966E+13      0.612458663354E+06      0.189567416769E+07      0.131818121025E+00      0.000000000000E+00
     1      0.536112000000E+07      0.198900000000E+34     -0.281561376609E+14      0.104619741204E+14      0.690703154980E+06      0.186936429677E+07      0.131818121025E+00      0.000000000000E+00
     1      0.599184000000E+07      0.198900000000E+34     -0.277083045631E+14      0.116364890904E+14      0.767700718336E+06      0.183983437537E+07      0.131818121025E+00      0.000000000000E+00
     1      0.662256000000E+07      0.198900000000E+34     -0.272121201615E+14      0.127918781735E+14      0.843316622531E+06      0.180714428389E+07      0.131818121025E+00      0.000000000000E+00
     1      0.725328000000E+07      0.198900000000E+34     -0.266684768309E+14      0.139261583394E+14      0.917418803783E+06      0.177135989229E+07      0.131818121025E+00      0.000000000000E+00
     1      0.788400000000E+07      0.198900000000E+34     -0.260783497850E+14      0.150373890365E+14      0.989878172367E+06      0.173255296375E+07      0.131818121025E+00      0.000000000000E+00
     1      0.851472000000E+07      0.198900000000E+34     -0.254427951515E+14      0.161236758917E+14      0.106056891827E+07      0.169080103868E+07      0.131818121025E+00      0.000000000000E+00
     1      0.914544000000E+07      0.198900000000E+34     -0.247629478561E+14      0.171831743333E+14      0.112936881401E+07      0.164618729890E+07      0.131818121025E+00      0.000000000000E+00
     1      0.977616000000E+07      0.198900000000E+34     -0.240400193155E+14      0.182140931259E+14      0.119615951302E+07      0.159880041171E+07      0.131818121025E+00      0.000000000000E+00
     1      0.104068800000E+08      0.198900000000E+34     -0.232752949433E+14      0.192146978024E+14      0.126082684194E+07      0.154873435407E+07      0.131818121025E+00      0.000000000000E+00
     1      0.110376000000E+08      0.198900000000E+34     -0.224701314727E+14      0.201833139838E+14      0.132326108527E+07      0.149608821695E+07      0.131818121025E+00      0.000000000000E+00
     1      0.116683200000E+08      0.198900000000E+34     -0.216259541008E+14      0.211183305707E+14      0.138335726058E+07      0.144096599014E+07      0.131818121025E+00      0.000000000000E+00
     1      0.122990400000E+08      0.198900000000E+34     -0.207442534617E+14      0.220182027975E+14      0.144101538281E+07      0.138347632812E+07      0.131818121025E+00      0.000000000000E+00
     1      0.129297600000E+08      0.198900000000E+34     -0.198265824339E+14      0.228814551350E+14      0.149614071586E+07      0.132373229757E+07      0.131818121025E+00      0.000000000000E+00
     1      0.135604800000E+08      0.198900000000E+34     -0.188745527918E+14      0.237066840317E+14      0.154864401010E+07      0.126185110731E+07      0.131818121025E+00      0.000000000000E+00
