 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.545572800000E+08      0.198900000000E+34      0.265428200802E+14     -0.138080105527E+14     -0.916517541193E+06     -0.176180052703E+07      0.131818121025E+00      0.000000000000E+00
     1      0.551880000000E+08      0.198900000000E+34      0.259416663817E+14     -0.149067903544E+14     -0.989449913106E+06     -0.172189847825E+07      0.131818121025E+00      0.000000000000E+00
     1      0.558187200000E+08      0.198900000000E+34      0.252950529392E+14     -0.159794477449E+14     -0.106064838946E+07     -0.167897900326E+07      0.131818121025E+00      0.000000000000E+00
     1      0.564494400000E+08      0.198900000000E+34      0.246041128674E+14     -0.170241030174E+14     -0.112998820324E+07     -0.163311731345E+07      0.131818121025E+00      0.000000000000E+00
     1      0.570801600000E+08      0.198900000000E+34      0.238700569581E+14     -0.180389255354E+14     -0.119734784450E+07     -0.158439377608E+07      0.131818121025E+00      0.000000000000E+00
     1      0.577108800000E+08      0.198900000000E+34      0.230941715588E+14     -0.190221369409E+14     -0.126260927334E+07     -0.153289377346E+07      0.131818121025E+00      0.000000000000E+00
     1      0.583416000000E+08      0.198900000000E+34      0.222778163179E+14     -0.199720142705E+14     -0.132565812671E+07     -0.147870755335E+07      0.131818121025E+00      0.000000000000E+00
     1      0.589723200000E+08      0.198900000000E+34      0.214224218030E+14     -0.208868929751E+14     -0.138638391885E+07     -0.142193007077E+07      0.131818121025E+00      0.000000000000E+00
     1      0.596030400000E+08      0.198900000000E+34      0.205294869930E+14     -0.217651698365E+14     -0.144468023489E+07     -0.136266082164E+07      0.131818121025E+00      0.000000000000E+00
     1      0.602337600000E+08      0.198900000000E+34      0.196005766521E+14     -0.226053057769E+14     -0.150044491736E+07     -0.130100366841E+07      0.131818121025E+00      0.000000000000E+00
     1      0.608644800000E+08      0.198900000000E+34      0.186373185872E+14     -0.234058285561E+14     -0.155358024513E+07     -0.123706665804E+07      0.131818121025E+00      0.000000000000E+00
     1      0.614952000000E+08      0.198900000000E+34      0.176414007959E+14     -0.241653353514E+14     -0.160399310476E+07     -0.117096183270E+07      0.131818121025E+00      0.000000000000E+00
     1      0.621259200000E+08      0.198900000000E+34      0.166145685078E+14     -0.248824952157E+14     -0.165159515358E+07     -0.110280503337E+07      0.131818121025E+00      0.000000000000E+00
     1      0.627566400000E+08      0.198900000000E+34      0.155586211267E+14     -0.255560514101E+14     -0.169630297457E+07     -0.103271569690E+07      0.131818121025E+00      0.000000000000E+00
     1      0.633873600000E+08      0.198900000000E+34      0.144754090772E+14     -0.261848236058E+14     -0.173803822248E+07     -0.960816646678E+06      0.131818121025E+00      0.000000000000E+00
     1      0.640180800000E+08      0.198900000000E+34      0.133668305621E+14     -0.267677099531E+14     -0.177672776117E+07     -0.887233877397E+06      0.131818121025E+00      0.000000000000E+00
     1      0.646488000000E+08      0.198900000000E+34      0.122348282359E+14     -0.273036890115E+14     -0.181230379172E+07     -0.812096334279E+06      0.131818121025E+00      0.000000000000E+00
     1      0.652795200000E+08      0.198900000000E+34      0.110813858006E+14     -0.277918215404E+14     -0.184470397131E+07     -0.735535687105E+06      0.131818121025E+00      0.000000000000E+00
     1      0.659102400000E+08      0.198900000000E+34      0.990852452953E+13     -0.282312521445E+14     -0.187387152239E+07     -0.657686099479E+06      0.131818121025E+00      0.000000000000E+00
     1      0.665409600000E+08      0.198900000000E+34      0.871829972524E+13     -0.286212107728E+14     -0.189975533224E+07     -0.578683993720E+06      0.131818121025E+00      0.000000000000E+00
     1      0.671716800000E+08      0.198900000000E+34      0.751279711784E+13     -0.289610140684E+14     -0.192231004250E+07     -0.498667811804E+06      0.131818121025E+00      0.000000000000E+00
     1      0.678024000000E+08      0.198900000000E+34      0.629412921000E+13     -0.292500665658E+14     -0.194149612868E+07     -0.417777772756E+06      0.131818121025E+00      0.000000000000E+00
     1      0.684331200000E+08      0.198900000000E+34      0.506443157506E+13     -0.294878617341E+14     -0.195727996940E+07     -0.336155626931E+06      0.131818121025E+00      0.000000000000E+00
     1      0.690638400000E+08      0.198900000000E+34      0.382585911465E+13     -0.296739828650E+14     -0.196963390533E+07     -0.253944407619E+06      0.131818121025E+00      0.000000000000E+00
     1      0.696945600000E+08      0.198900000000E+34      0.258058228252E+13     -0.298081038031E+14     -0.197853628763E+07     -0.171288180390E+06      0.131818121025E+00      0.000000000000E+00
     1      0.703252800000E+08      0.198900000000E+34      0.133078328102E+13     -0.298899895170E+14     -0.198397151593E+07     -0.883317906400E+05      0.131818121025E+00      0.000000000000E+00
     1      0.709560000000E+08      0.198900000000E+34      0.786522370875E+11     -0.299194965116E+14     -0.198593006561E+07     -0.522060976262E+04      0.131818121025E+00      0.000000000000E+00
     1      0.715867200000E+08      0.198900000000E+34     -0.117361663571E+13     -0.298965730794E+14     -0.198440850456E+07      0.778997195940E+05      0.131818121025E+00      0.000000000000E+00
     1      0.722174400000E+08      0.198900000000E+34     -0.242382888228E+13     -0.298212593910E+14     -0.197940949914E+07      0.160883538751E+06      0.131818121025E+00      0.000000000000E+00
     1      0.728481600000E+08      0.198900000000E+34     -0.366979365153E+13     -0.296936874249E+14     -0.197094180952E+07      0.243585428246E+06      0.131818121025E+00      0.000000000000E+00
     1      0.734788800000E+08      0.198900000000E+34     -0.490932753558E+13     -0.295140807361E+14     -0.195902027434E+07      0.325860462669E+06      0.131818121025E+00      0.000000000000E+00
     1      0.741096000000E+08      0.198900000000E+34     -0.614025839591E+13     -0.292827540644E+14     -0.194366578470E+07      0.407564464621E+06      0.131818121025E+00      0.000000000000E+00
     1      0.747403200000E+08      0.198900000000E+34     -0.736042916983E+13     -0.290001127827E+14     -0.192490524756E+07      0.488554257373E+06      0.131818121025E+00      0.000000000000E+00
     1      0.753710400000E+08      0.198900000000E+34     -0.856770165041E+13     -0.286666521871E+14     -0.190277153857E+07      0.568687915764E+06      0.131818121025E+00      0.000000000000E+00
     1      0.760017600000E+08      0.198900000000E+34     -0.975996023350E+13     -0.282829566282E+14     -0.187730344448E+07      0.647825014906E+06      0.131818121025E+00      0.000000000000E+00
     1      0.766324800000E+08      0.198900000000E+34     -0.109351156251E+14     -0.278496984878E+14     -0.184854559515E+07      0.725826876270E+06      0.131818121025E+00      0.000000000000E+00
     1      0.772632000000E+08      0.198900000000E+34     -0.120911085024E+14     -0.273676370003E+14     -0.181654838537E+07      0.802556810695E+06      0.131818121025E+00      0.000000000000E+00
     1      0.778939200000E+08      0.198900000000E+34     -0.132259131228E+14     -0.268376169222E+14     -0.178136788650E+07      0.877880357925E+06      0.131818121025E+00      0.000000000000E+00
     1      0.785246400000E+08      0.198900000000E+34     -0.143375408737E+14     -0.262605670519E+14     -0.174306574827E+07      0.951665522234E+06      0.131818121025E+00      0.000000000000E+00
     1      0.791553600000E+08      0.198900000000E+34     -0.154240437571E+14     -0.256374986018E+14     -0.170170909072E+07      0.102378300373E+07      0.131818121025E+00      0.000000000000E+00
     1      0.797860800000E+08      0.198900000000E+34     -0.164835178035E+14     -0.249695034269E+14     -0.165737038655E+07      0.109410642495E+07      0.131818121025E+00      0.000000000000E+00
     1      0.804168000000E+08      0.198900000000E+34     -0.175141064083E+14     -0.242577521107E+14     -0.161012733418E+07      0.116251255230E+07      0.131818121025E+00      0.000000000000E+00
     1      0.810475200000E+08      0.198900000000E+34     -0.185140035851E+14     -0.235034919144E+14     -0.156006272154E+07      0.122888151202E+07      0.131818121025E+00      0.000000000000E+00
     1      0.816782400000E+08      0.198900000000E+34     -0.194814571310E+14     -0.227080445909E+14     -0.150726428103E+07      0.129309700027E+07      0.131818121025E+00      0.000000000000E+00
     1      0.823089600000E+08      0.198900000000E+34     -0.204147716964E+14     -0.218728040689E+14     -0.145182453575E+07      0.135504648688E+07      0.131818121025E+00      0.000000000000E+00
     1      0.829396800000E+08      0.198900000000E+34     -0.213123117564E+14     -0.209992340100E+14     -0.139384063740E+07      0.141462141262E+07      0.131818121025E+00      0.000000000000E+00
     1      0.835704000000E+08      0.198900000000E+34     -0.221725044769E+14     -0.200888652438E+14     -0.133341419598E+07      0.147171737939E+07      0.131818121025E+00      0.000000000000E+00
     1      0.842011200000E+08      0.198900000000E+34     -0.229938424704E+14     -0.191432930853E+14     -0.127065110178E+07      0.152623433316E+07      0.131818121025E+00      0.000000000000E+00
     1      0.848318400000E+08      0.198900000000E+34     -0.237748864381E+14     -0.181641745393E+14     -0.120566133982E+07      0.157807673933E+07      0.131818121025E+00      0.000000000000E+00
     1      0.854625600000E+08      0.198900000000E+34     -0.245142676915E+14     -0.171532253970E+14     -0.113855879705E+07      0.162715375015E+07      0.131818121025E+00      0.000000000000E+00
     1      0.860932800000E+08      0.198900000000E+34     -0.252106905511E+14     -0.161122172287E+14     -0.106946106285E+07      0.167337936388E+07      0.131818121025E+00      0.000000000000E+00
     1      0.867240000000E+08      0.198900000000E+34     -0.258629346174E+14     -0.150429742798E+14     -0.998489222952E+06      0.171667257552E+07      0.131818121025E+00      0.000000000000E+00
     1      0.873547200000E+08      0.198900000000E+34     -0.264698569085E+14     -0.139473702738E+14     -0.925767647211E+06      0.175695751878E+07      0.131818121025E+00      0.000000000000E+00
     1      0.879854400000E+08      0.198900000000E+34     -0.270303938641E+14     -0.128273251288E+14     -0.851423771706E+06      0.179416359899E+07      0.131818121025E+00      0.000000000000E+00
     1      0.886161600000E+08      0.198900000000E+34     -0.275435632085E+14     -0.116848015934E+14     -0.775587875402E+06      0.182822561684E+07      0.131818121025E+00      0.000000000000E+00
     1      0.892468800000E+08      0.198900000000E+34     -0.280084656724E+14     -0.105218018066E+14     -0.698392851860E+06      0.185908388263E+07      0.131818121025E+00      0.000000000000E+00
     1      0.898776000000E+08      0.198900000000E+34     -0.284242865684E+14     -0.934036378990E+13     -0.619973976347E+06      0.188668432083E+07      0.131818121025E+00      0.000000000000E+00
     1      0.905083200000E+08      0.198900000000E+34     -0.287902972190E+14     -0.814255787557E+13     -0.540468668794E+06      0.191097856492E+07      0.131818121025E+00      0.000000000000E+00
     1      0.911390400000E+08      0.198900000000E+34     -0.291058562332E+14     -0.693048307870E+13     -0.460016252973E+06      0.193192404206E+07      0.131818121025E+00      0.000000000000E+00
     1      0.917697600000E+08      0.198900000000E+34     -0.293704106306E+14     -0.570626341894E+13     -0.378757712353E+06      0.194948404774E+07      0.131818121025E+00      0.000000000000E+00
     1      0.924004800000E+08      0.198900000000E+34     -0.295834968105E+14     -0.447204419839E+13     -0.296835443045E+06      0.196362781011E+07      0.131818121025E+00      0.000000000000E+00
     1      0.930312000000E+08      0.198900000000E+34     -0.297447413644E+14     -0.322998824223E+13     -0.214393004265E+06      0.197433054387E+07      0.131818121025E+00      0.000000000000E+00
     1      0.936619200000E+08      0.198900000000E+34     -0.298538617298E+14     -0.198227210857E+13     -0.131574866765E+06      0.198157349374E+07      0.131818121025E+00      0.000000000000E+00
     1      0.942926400000E+08      0.198900000000E+34     -0.299106666862E+14     -0.731082274359E+12     -0.485261596663E+05      0.198534396728E+07      0.131818121025E+00      0.000000000000E+00
     1      0.949233600000E+08      0.198900000000E+34     -0.299150566894E+14      0.521388696231E+12      0.346075838642E+05      0.198563535719E+07      0.131818121025E+00      0.000000000000E+00
     1      0.955540800000E+08      0.198900000000E+34     -0.298670240465E+14      0.177294599397E+13      0.117680681643E+06      0.198244715283E+07      0.131818121025E+00      0.000000000000E+00
     1      0.961848000000E+08      0.198900000000E+34     -0.297666529291E+14      0.302139641073E+13      0.200547557761E+06      0.197578494117E+07      0.131818121025E+00      0.000000000000E+00
     1      0.968155200000E+08      0.198900000000E+34     -0.296141192258E+14      0.426455218284E+13      0.283062997689E+06      0.196566039695E+07      0.131818121025E+00      0.000000000000E+00
     1      0.974462400000E+08      0.198900000000E+34     -0.294096902343E+14      0.550023482487E+13      0.365082402748E+06      0.195209126225E+07      0.131818121025E+00      0.000000000000E+00
     1      0.980769600000E+08      0.198900000000E+34     -0.291537241923E+14      0.672627894717E+13      0.446462043502E+06      0.193510131540E+07      0.131818121025E+00      0.000000000000E+00
