 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.315360000000E+03      0.198900000000E+34     -0.299196000000E+14      0.626285067377E+09      0.415701626464E+02      0.198593692091E+07      0.131818120938E+00     -0.275925215422E-05
     1      0.631035360000E+06      0.198900000000E+34     -0.298933716045E+14      0.125283056852E+13      0.831575085911E+05      0.198419599270E+07      0.131702238301E+00     -0.551963478023E-02
     1      0.126175536000E+07      0.198900000000E+34     -0.298147586476E+14      0.250284051682E+13      0.166127590160E+06      0.197897801085E+07      0.131355564280E+00     -0.110268087960E-01
     1      0.189247536000E+07      0.198900000000E+34     -0.296838989728E+14      0.374846565069E+13      0.248806420826E+06      0.197029213754E+07      0.130778707803E+00     -0.165146306585E-01
     1      0.252319536000E+07      0.198900000000E+34     -0.295010219790E+14      0.498752318628E+13      0.331049117829E+06      0.195815361199E+07      0.129972681172E+00     -0.219734836662E-01
     1      0.315391536000E+07      0.198900000000E+34     -0.292664482174E+14      0.621784186013E+13      0.412711563588E+06      0.194258372375E+07      0.128938898296E+00     -0.273938019103E-01
     1      0.378463536000E+07      0.198900000000E+34     -0.289805888295E+14      0.743726573413E+13      0.493650658255E+06      0.192360977536E+07      0.127679172215E+00     -0.327660870408E-01
     1      0.441535536000E+07      0.198900000000E+34     -0.286439448262E+14      0.864365797339E+13      0.573724570498E+06      0.190126503448E+07      0.126195711925E+00     -0.380809249137E-01
     1      0.504607536000E+07      0.198900000000E+34     -0.282571062089E+14      0.983490459080E+13      0.652792986048E+06      0.187558867559E+07      0.124491118511E+00     -0.433290020916E-01
     1      0.567679536000E+07      0.198900000000E+34     -0.278207509352E+14      0.110089181515E+14      0.730717353603E+06      0.184662571129E+07      0.122568380591E+00     -0.485011221690E-01
     1      0.630751536000E+07      0.198900000000E+34     -0.273356437304E+14      0.121636414306E+14      0.807361127637E+06      0.181442691344E+07      0.120430869082E+00     -0.535882218915E-01
     1      0.693823536000E+07      0.198900000000E+34     -0.268026347464E+14      0.132970510183E+14      0.882590007695E+06      0.177904872409E+07      0.118082331291E+00     -0.585813870442E-01
     1      0.756895536000E+07      0.198900000000E+34     -0.262226580716E+14      0.144071608655E+14      0.956272173755E+06      0.174055315659E+07      0.115526884353E+00     -0.634718680772E-01
     1      0.819967536000E+07      0.198900000000E+34     -0.255967300932E+14      0.154920257640E+14      0.102827851725E+07      0.169900768688E+07      0.112769008013E+00     -0.682510954443E-01
     1      0.883039536000E+07      0.198900000000E+34     -0.249259477158E+14      0.165497447549E+14      0.109848286732E+07      0.165448513517E+07      0.109813536777E+00     -0.729106946261E-01
     1      0.946111536000E+07      0.198900000000E+34     -0.242114864381E+14      0.175784644598E+14      0.116676221195E+07      0.160706353832E+07      0.106665651438E+00     -0.774425008115E-01
     1      0.100918353600E+08      0.198900000000E+34     -0.234545982923E+14      0.185763823281E+14      0.123299691352E+07      0.155682601304E+07      0.103330869996E+00     -0.818385732116E-01
     1      0.107225553600E+08      0.198900000000E+34     -0.226566096500E+14      0.195417497961E+14      0.129707091850E+07      0.150386061014E+07      0.998150379861E-01     -0.860912089818E-01
     1      0.113532753600E+08      0.198900000000E+34     -0.218189188965E+14      0.204728753501E+14      0.135887196081E+07      0.144826016026E+07      0.961243182290E-01     -0.901929567263E-01
     1      0.119839953600E+08      0.198900000000E+34     -0.209429939800E+14      0.213681274908E+14      0.141829175858E+07      0.139012211103E+07      0.922651800294E-01     -0.941366295617E-01
