 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.201833553600E+08      0.397800000000E+34      0.342779052412E+13     -0.145625274326E+14     -0.966516747700E+06     -0.227500231175E+06     -0.150977346400E-01      0.641512530525E-01
     2      0.208140753600E+08      0.397800000000E+34      0.281536579666E+13     -0.146932228620E+14     -0.975190038221E+06     -0.186851438274E+06     -0.123997275823E-01      0.647266855050E-01
     2      0.214447953600E+08      0.397800000000E+34      0.219800854253E+13     -0.147981733799E+14     -0.982154551081E+06     -0.145875411941E+06     -0.968001685930E-02      0.651886954471E-01
     2      0.220755153600E+08      0.397800000000E+34      0.157680052178E+13     -0.148771951993E+14     -0.987398097943E+06     -0.104643955230E+06     -0.694336884946E-02      0.655364747640E-01
     2      0.227062353600E+08      0.397800000000E+34      0.952830232233E+12     -0.149301499683E+14     -0.990911506490E+06     -0.632293178433E+05     -0.419457953479E-02      0.657694155766E-01
     2      0.233369553600E+08      0.397800000000E+34      0.327191001834E+12     -0.149569450118E+14     -0.992688636450E+06     -0.217040694796E+05     -0.143846609043E-02      0.658871113024E-01
     2      0.239676753600E+08      0.397800000000E+34     -0.299020927316E+12     -0.149575334934E+14     -0.992726390304E+06      0.198590273668E+05      0.132014156263E-02      0.658893573646E-01
     2      0.245983953600E+08      0.397800000000E+34     -0.924708320087E+12     -0.149319144966E+14     -0.991024718652E+06      0.613871449456E+05      0.407640922715E-02      0.657761515459E-01
     2      0.252291153600E+08      0.397800000000E+34     -0.154877487111E+13     -0.148801330261E+14     -0.987586620241E+06      0.102807517901E+06      0.682550690642E-02      0.655476939867E-01
     2      0.258598353600E+08      0.397800000000E+34     -0.217012712593E+13     -0.148022799278E+14     -0.982418136646E+06      0.144047570811E+06      0.956261727333E-02      0.652043868293E-01
     2      0.264905553600E+08      0.397800000000E+34     -0.278767639705E+13     -0.146984917292E+14     -0.975528341612E+06      0.185035045383E+06      0.122829441170E-01      0.647468335071E-01
     2      0.271212753600E+08      0.397800000000E+34     -0.340034067168E+13     -0.145689503992E+14     -0.966929325085E+06      0.225698127103E+06      0.149817207522E-01      0.641758376799E-01
     2      0.277519953600E+08      0.397800000000E+34     -0.400704650767E+13     -0.144138830286E+14     -0.956636171952E+06      0.265965571088E+06      0.176542183760E-01      0.634924018191E-01
     2      0.283827153600E+08      0.397800000000E+34     -0.460673091438E+13     -0.142335614316E+14     -0.944666935531E+06      0.305766826947E+06      0.202957543585E-01      0.626977254434E-01
     2      0.290134353600E+08      0.397800000000E+34     -0.519834321524E+13     -0.140283016682E+14     -0.931042605855E+06      0.345032162413E+06      0.229017004511E-01      0.617932030085E-01
     2      0.296441553600E+08      0.397800000000E+34     -0.578084688862E+13     -0.137984634902E+14     -0.915787072811E+06      0.383692785541E+06      0.254674909002E-01      0.607804214557E-01
     2      0.302748753600E+08      0.397800000000E+34     -0.635322138386E+13     -0.135444497096E+14     -0.898927084196E+06      0.421680965248E+06      0.279886304494E-01      0.596611574221E-01
     2      0.309055953600E+08      0.397800000000E+34     -0.691446390932E+13     -0.132667054922E+14     -0.880492198761E+06      0.458930149993E+06      0.304607022187E-01      0.584373741184E-01
