 #                    time                    posx                    posy                    velx                    vely                  anal_y                   err_y
      0.00000000000000E+00    0.00000000000000E+00    0.00000000000000E+00    0.15000000000000E+02    0.25980762113533E+02    0.00000000000000E+00    0.00000000000000E+00
      0.10000000000000E+01    0.15000000000000E+02    0.25980762113533E+02    0.15000000000000E+02    0.16180762113533E+02    0.21080762113533E+02    0.23243941436322E+00
      0.20000000000000E+01    0.30000000000000E+02    0.42161524227066E+02    0.15000000000000E+02    0.63807621135332E+01    0.32361524227066E+02    0.30282875216995E+00
      0.30000000000000E+01    0.45000000000000E+02    0.48542286340599E+02    0.15000000000000E+02   -0.34192378864668E+01    0.33842286340599E+02    0.43436781581642E+00
      0.40000000000000E+01    0.60000000000000E+02    0.45123048454133E+02    0.15000000000000E+02   -0.13219237886467E+02    0.25523048454133E+02    0.76793334601950E+00
      0.50000000000000E+01    0.75000000000000E+02    0.31903810567666E+02    0.15000000000000E+02   -0.23019237886467E+02    0.74038105676658E+01    0.33091068141313E+01
      0.60000000000000E+01    0.90000000000000E+02    0.88845726811989E+01    0.15000000000000E+02   -0.32819237886467E+02   -0.20515427318801E+02    0.14330678831660E+01
      0.70000000000000E+01    0.10500000000000E+03   -0.23934665205268E+02    0.15000000000000E+02   -0.42619237886467E+02   -0.58234665205268E+02    0.58899625985825E+00
